name,d1,d2,d3,d4
a0,0,0,0,0
b0,0,0,0,-1
c0,0,0,-1,0
d0,0,0,-1,-1
e0,0,-1,0,0
f0,0,-1,0,-1
g0,0,-1,-1,0
h0,1,0,0,0
i0,1,0,0,-1
j0,1,0,-1,0
k0,1,0,-1,-1
l0,1,-1,0,0
m0,1,-1,0,-1
n0,1,-1,-1,0
o0,2,0,0,0
p0,2,0,0,-1
q0,2,0,-1,0
r0,2,0,-1,-1
s0,2,-1,0,0
t0,2,-1,0,-1
u0,2,-1,-1,0
v0,3,0,0,0
w0,3,0,0,-1
x0,3,0,-1,0
y0,3,0,-1,-1
z0,3,-1,0,0
A0,3,-1,0,-1
B0,3,-1,-1,0
C0,4,0,0,0
D0,4,0,0,-1
E0,4,0,-1,0
F0,4,0,-1,-1
G0,4,-1,0,0
H0,4,-1,0,-1
I0,4,-1,-1,0
J0,5,0,0,0
K0,5,0,0,-1
L0,5,0,-1,0
M0,5,0,-1,-1
N0,5,-1,0,0
O0,5,-1,0,-1
P0,5,-1,-1,0
Q0,6,0,0,0
R0,6,0,0,-1
S0,6,0,-1,0
T0,6,0,-1,-1
U0,6,-1,0,0
V0,6,-1,0,-1
W0,6,-1,-1,0
X0,7,0,0,0
Y0,7,0,0,-1
Z0,7,0,-1,0
a1,7,0,-1,-1
b1,7,-1,0,0
c1,7,-1,0,-1
d1,7,-1,-1,0
e1,8,0,0,0
f1,8,0,0,-1
g1,8,0,-1,0
h1,8,0,-1,-1
i1,8,-1,0,0
j1,8,-1,0,-1
k1,8,-1,-1,0
l1,9,0,0,0
m1,9,0,0,-1
n1,9,0,-1,0
o1,9,0,-1,-1
p1,9,-1,0,0
q1,9,-1,0,-1
r1,9,-1,-1,0
s1,10,0,0,0
t1,-1,0,0,0
u1,-1,0,0,-1
v1,-1,0,-1,0
w1,0,1,0,0
x1,0,1,0,-1
y1,0,1,-1,0
z1,0,1,-1,-1
A1,-1,-1,0,0
B1,0,0,1,0
C1,0,0,1,-1
D1,0,0,0,1
E1,0,0,-1,1
F1,0,-1,1,0
G1,0,-1,1,-1
H1,0,-1,0,1
I1,0,-1,-1,1
J1,-1,1,0,0
K1,-1,1,0,-1
L1,-1,1,-1,0
M1,0,2,0,0
N1,0,2,0,-1
O1,0,2,-1,0
P1,0,2,-1,-1
Q1,-1,0,1,0
R1,-1,0,1,-1
S1,-1,0,0,1
T1,-1,0,-1,1
U1,-1,-1,1,0
V1,0,0,2,0
W1,0,0,2,-1
X1,-1,-1,0,1
Y1,0,0,0,2
Z1,0,0,-1,2
a2,0,-1,2,0
b2,0,-1,2,-1
c2,0,-1,0,2
d2,0,-1,-1,2
e2,-1,2,0,0
f2,-1,2,0,-1
g2,-1,2,-1,0
h2,0,3,0,0
i2,0,3,0,-1
j2,0,3,-1,0
k2,0,3,-1,-1
l2,-1,0,2,0
m2,-1,0,2,-1
n2,-1,0,0,2
o2,-1,0,-1,2
p2,-1,-1,2,0
q2,0,0,3,0
r2,0,0,3,-1
s2,-1,-1,0,2
t2,0,0,0,3
u2,0,0,-1,3
v2,0,-1,3,0
w2,0,-1,3,-1
x2,0,-1,0,3
y2,0,-1,-1,3
z2,-1,3,0,0
A2,-1,3,0,-1
B2,-1,3,-1,0
C2,0,4,0,0
D2,0,4,0,-1
E2,0,4,-1,0
F2,0,4,-1,-1
G2,-1,0,3,0
H2,-1,0,3,-1
I2,-1,0,0,3
J2,-1,0,-1,3
K2,-1,-1,3,0
L2,0,0,4,0
M2,0,0,4,-1
N2,-1,-1,0,3
O2,0,0,0,4
P2,0,0,-1,4
Q2,0,-1,4,0
R2,0,-1,4,-1
S2,0,-1,0,4
T2,0,-1,-1,4
U2,-1,4,0,0
V2,-1,4,0,-1
W2,-1,4,-1,0
X2,0,5,0,0
Y2,0,5,0,-1
Z2,0,5,-1,0
a3,0,5,-1,-1
b3,-1,0,4,0
c3,-1,0,4,-1
d3,-1,0,0,4
